iter	Passed	Remaining
0	36	36111
1	71	35771
2	105	35198
3	141	35259
4	178	35442
5	218	36171
6	253	35946
7	291	36117
8	325	35886
9	359	35573
10	393	35393
11	428	35310
12	458	34790
13	492	34685
14	522	34301
15	557	34284
16	588	34033
17	623	34010
18	659	34049
19	695	34098
20	738	34439
21	771	34313
22	805	34206
23	835	33960
24	869	33925
25	904	33877
26	939	33859
27	976	33883
28	1010	33843
29	1043	33735
30	1079	33741
31	1111	33619
32	1144	33528
33	1179	33509
34	1213	33452
35	1254	33605
36	1292	33631
37	1327	33605
38	1362	33567
39	1396	33526
40	1426	33367
41	1460	33315
42	1491	33195
43	1520	33037
44	1554	32986
45	1586	32893
46	1614	32729
47	1649	32710
48	1684	32702
49	1719	32675
50	1748	32531
51	1788	32603
52	1824	32591
53	1857	32536
54	1886	32410
55	1920	32379
56	1956	32375
57	1990	32334
58	2024	32294
59	2053	32177
60	2084	32095
61	2115	32002
62	2144	31893
63	2178	31865
64	2207	31757
65	2235	31634
66	2270	31624
67	2311	31682
68	2342	31604
69	2374	31550
70	2408	31517
71	2442	31475
72	2473	31410
73	2507	31383
74	2541	31350
75	2576	31322
76	2610	31290
77	2645	31271
78	2679	31234
79	2713	31204
80	2747	31171
81	2774	31061
82	2809	31039
83	2848	31064
84	2883	31039
85	2917	31010
86	2952	30980
87	2985	30936
88	3019	30907
89	3052	30864
90	3086	30829
91	3119	30792
92	3153	30759
93	3187	30720
94	3216	30643
95	3249	30595
96	3285	30589
97	3319	30556
98	3354	30533
99	3391	30519
100	3423	30474
101	3458	30448
102	3491	30409
103	3525	30376
104	3559	30343
105	3590	30282
106	3624	30247
107	3658	30213
108	3692	30182
109	3726	30154
110	3754	30068
111	3788	30039
112	3821	29997
113	3854	29955
114	3893	29963
115	3931	29960
116	3964	29923
117	3997	29878
118	4030	29840
119	4065	29816
120	4101	29792
121	4136	29769
122	4170	29733
123	4204	29700
124	4236	29657
125	4271	29627
126	4304	29590
127	4338	29555
128	4392	29659
129	4428	29633
130	4462	29604
131	4498	29578
132	4530	29536
133	4566	29510
134	4598	29462
135	4630	29416
136	4664	29385
137	4698	29349
138	4732	29313
139	4765	29274
140	4794	29209
141	4829	29181
142	4861	29133
143	4894	29097
144	4933	29089
145	4969	29067
146	5001	29022
147	5034	28983
148	5083	29032
149	5131	29079
150	5174	29091
151	5212	29082
152	5253	29082
153	5293	29082
154	5333	29074
155	5371	29062
156	5412	29062
157	5457	29082
158	5499	29089
159	5540	29087
160	5582	29091
161	5624	29093
162	5663	29083
163	5707	29096
164	5752	29111
165	5791	29096
166	5830	29081
167	5872	29084
168	5914	29082
169	5957	29086
170	6004	29110
171	6045	29105
172	6088	29104
173	6125	29080
174	6164	29061
175	6204	29047
176	6247	29050
177	6289	29044
178	6329	29030
179	6368	29011
180	6407	28992
181	6445	28967
182	6488	28967
183	6534	28977
184	6577	28978
185	6618	28966
186	6659	28952
187	6699	28937
188	6739	28920
189	6780	28907
190	6821	28893
191	6861	28874
192	6902	28862
193	6944	28850
194	6985	28835
195	7026	28822
196	7073	28834
197	7114	28817
198	7155	28800
199	7196	28784
200	7237	28769
201	7279	28758
202	7320	28740
203	7360	28718
204	7400	28700
205	7441	28682
206	7480	28655
207	7518	28629
208	7562	28620
209	7608	28621
210	7647	28597
211	7696	28607
212	7737	28588
213	7780	28575
214	7822	28560
215	7865	28550
216	7906	28529
217	7947	28510
218	7987	28483
219	8029	28469
220	8070	28447
221	8116	28445
222	8161	28435
223	8201	28410
224	8244	28398
225	8284	28372
226	8325	28351
227	8363	28319
228	8402	28289
229	8440	28258
230	8479	28229
231	8521	28210
232	8565	28197
233	8609	28182
234	8656	28178
235	8693	28143
236	8731	28110
237	8770	28081
238	8813	28062
239	8852	28033
240	8891	28001
241	8928	27965
242	8966	27933
243	9007	27907
244	9046	27877
245	9086	27849
246	9128	27827
247	9174	27817
248	9213	27789
249	9257	27773
250	9297	27743
251	9337	27717
252	9381	27700
253	9425	27683
254	9467	27659
255	9510	27640
256	9560	27639
257	9601	27613
258	9638	27577
259	9675	27537
260	9712	27501
261	9749	27462
262	9781	27411
263	9816	27367
264	9850	27321
265	9886	27279
266	9924	27244
267	9953	27185
268	9985	27136
269	10019	27090
270	10055	27050
271	10090	27005
272	10123	26957
273	10159	26918
274	10195	26878
275	10238	26856
276	10272	26812
277	10305	26765
278	10338	26717
279	10372	26671
280	10405	26623
281	10441	26583
282	10474	26537
283	10509	26496
284	10542	26448
285	10575	26400
286	10608	26355
287	10643	26312
288	10676	26267
289	10708	26217
290	10747	26185
291	10782	26143
292	10816	26099
293	10850	26056
294	10884	26011
295	10918	25968
296	10952	25924
297	10985	25878
298	11019	25834
299	11050	25785
300	11082	25735
301	11115	25691
302	11148	25645
303	11182	25601
304	11218	25563
305	11253	25521
306	11291	25488
307	11324	25444
308	11359	25401
309	11391	25356
310	11425	25312
311	11458	25267
312	11492	25223
313	11526	25182
314	11559	25137
315	11592	25092
316	11627	25053
317	11659	25006
318	11692	24962
319	11727	24920
320	11760	24876
321	11800	24846
322	11834	24805
323	11869	24764
324	11902	24720
325	11936	24678
326	11971	24637
327	12005	24597
328	12038	24553
329	12072	24510
330	12105	24467
331	12139	24424
332	12172	24381
333	12206	24340
334	12239	24297
335	12274	24257
336	12312	24222
337	12354	24196
338	12389	24157
339	12423	24115
340	12456	24071
341	12489	24029
342	12524	23989
343	12558	23947
344	12592	23907
345	12627	23868
346	12660	23825
347	12695	23786
348	12729	23744
349	12763	23703
350	12796	23661
351	12834	23626
352	12874	23596
353	12907	23554
354	12941	23513
355	12975	23473
356	13010	23432
357	13044	23392
358	13076	23349
359	13110	23307
360	13143	23264
361	13178	23225
362	13214	23188
363	13247	23147
364	13280	23104
365	13314	23063
366	13345	23018
367	13385	22988
368	13421	22951
369	13455	22910
370	13487	22867
371	13523	22829
372	13557	22789
373	13590	22748
374	13625	22708
375	13658	22667
376	13693	22628
377	13725	22584
378	13759	22544
379	13793	22504
380	13826	22463
381	13860	22424
382	13899	22391
383	13935	22354
384	13968	22313
385	14003	22274
386	14035	22232
387	14068	22190
388	14103	22152
