iter	MultiClass
0	1.01463817
1	0.9475432427
2	0.8881210274
3	0.8396509886
4	0.7985551685
5	0.7631242554
6	0.731458766
7	0.7063510209
8	0.6803789227
9	0.6589973758
10	0.6394039987
11	0.6228429793
12	0.6084373354
13	0.5938370523
14	0.5812319151
15	0.5701642316
16	0.560562498
17	0.5522248693
18	0.5442235477
19	0.5370978565
20	0.5311080958
21	0.5248363938
22	0.5194399927
23	0.5142724078
24	0.5092440541
25	0.5051493146
26	0.5012222811
27	0.4979627173
28	0.4942548983
29	0.4910688925
30	0.4871515024
31	0.4842404478
32	0.4816464687
33	0.4790098813
34	0.4767169915
35	0.4745975708
36	0.4721534518
37	0.4703318101
38	0.4689389674
39	0.4670086063
40	0.4651109338
41	0.463643535
42	0.4620357289
43	0.4607394498
44	0.4596475358
45	0.4582416884
46	0.456873509
47	0.4556126568
48	0.4544342902
49	0.4531757806
50	0.4520579179
51	0.4509743225
52	0.449934647
53	0.4483979714
54	0.447311982
55	0.4465077889
56	0.4455528153
57	0.4444674571
58	0.4436946945
59	0.442702718
60	0.441346201
61	0.4405317446
62	0.4395174715
63	0.4387110668
64	0.4377754527
65	0.4362907684
66	0.4351905558
67	0.434454724
68	0.4334358322
69	0.4326909226
70	0.4315209476
71	0.4309299376
72	0.4300059279
73	0.4293697397
74	0.4278195788
75	0.4272572917
76	0.4267846997
77	0.4257090603
78	0.4249635997
79	0.4243193552
80	0.4237625089
81	0.4233081373
82	0.422350754
83	0.4218487427
84	0.4210206225
85	0.4201936294
86	0.4191238186
87	0.4185352436
88	0.4180180914
89	0.4170826138
90	0.4164607745
91	0.4159597704
92	0.4153425102
93	0.4146526266
94	0.4141346129
95	0.4133413142
96	0.4127845382
97	0.4121280341
98	0.4114463581
99	0.4109937553
100	0.410031598
101	0.4092996879
102	0.4086664393
103	0.4079799952
104	0.4073688266
105	0.4067930793
106	0.4061587348
107	0.4058937319
108	0.4055722474
109	0.4045811577
110	0.4042842053
111	0.4037550347
112	0.4032033049
113	0.4027758453
114	0.4020915385
115	0.4011744017
116	0.4003863207
117	0.3997290253
118	0.3991845263
119	0.3988342
120	0.3983095428
121	0.3976876636
122	0.396958196
123	0.3963349665
124	0.3958549103
125	0.3950306574
126	0.3945120503
127	0.3939041285
128	0.3933170171
129	0.392577789
130	0.3917739152
131	0.39123828
132	0.3904106305
133	0.3900165092
134	0.3891038923
135	0.3886565672
136	0.3882998287
137	0.3878494395
138	0.3872356539
139	0.3864404876
140	0.3859086701
141	0.3853466399
142	0.3850432647
143	0.384346648
144	0.3838334254
145	0.3833075733
146	0.3826235428
147	0.3821269263
148	0.3814055521
149	0.3810196272
150	0.3804136372
151	0.3799905891
152	0.379147442
153	0.3786848141
154	0.3782800622
155	0.3777439679
156	0.3774492964
157	0.3767787225
158	0.3760985155
159	0.37562393
160	0.3750811903
161	0.3744773162
162	0.3738018171
163	0.3732136858
164	0.3726377493
165	0.3720723726
166	0.37162898
167	0.3713530582
168	0.3709025857
169	0.3704493121
170	0.3701305074
171	0.3693350845
172	0.3688956535
173	0.3683831076
174	0.3677429172
175	0.3672781467
176	0.3667768694
177	0.3662645188
178	0.3656562319
179	0.3650308733
180	0.3646674682
181	0.3640512644
182	0.3638019988
183	0.3632322789
184	0.3627028892
185	0.3624781074
186	0.3623840865
187	0.3619802299
188	0.3613917888
189	0.3611232816
190	0.3606140467
191	0.3599875631
192	0.3596753433
193	0.358727074
194	0.3584780553
195	0.3580547254
196	0.3576817064
197	0.3572207103
198	0.3567460358
199	0.3563123948
200	0.3559870884
201	0.3555806276
202	0.355185415
203	0.354768802
204	0.3543474519
205	0.3539185575
206	0.3535835089
207	0.3532556362
208	0.3527416037
209	0.3523029496
210	0.3519719182
211	0.3515109309
212	0.3509675334
213	0.350524853
214	0.3502422268
215	0.3500548
216	0.3497103831
217	0.3492507326
218	0.3489026289
219	0.3486745427
220	0.3482915196
221	0.3479800906
222	0.3476739249
223	0.3471741683
224	0.3469673386
225	0.3464170416
226	0.3461836238
227	0.3459924171
228	0.3457485327
229	0.3452540001
230	0.3448904504
231	0.3444522203
232	0.3440219111
233	0.3434047941
234	0.3428768294
235	0.3419309909
236	0.3415198448
237	0.3410349195
238	0.3405731213
239	0.3399368222
240	0.3395167969
241	0.3391411989
242	0.3389390464
243	0.3381445417
244	0.3378458409
245	0.3374944582
246	0.336863172
247	0.33634491
248	0.3360784322
249	0.3356559538
250	0.3350295351
251	0.3346757318
252	0.3342589105
253	0.3336406698
254	0.3334169616
255	0.3329160565
256	0.3325276108
257	0.3320538352
258	0.3316416951
259	0.3310200827
260	0.3307452296
261	0.3304968977
262	0.3304093946
263	0.3299639897
264	0.3297199356
265	0.3293691197
266	0.3291184791
267	0.3286923516
268	0.3283874123
269	0.3281117533
270	0.32746637
271	0.326891904
272	0.326691558
273	0.3263120005
274	0.326140559
275	0.3257532887
276	0.3255221838
277	0.3252614843
278	0.3250385135
279	0.3248519902
280	0.3244435269
281	0.32396768
282	0.3236327088
283	0.3234647184
284	0.3229414937
285	0.3223363556
286	0.3221500362
287	0.3216931404
288	0.3213241206
289	0.3209134083
290	0.3208116072
291	0.3204382807
292	0.320147256
293	0.3197335187
294	0.3195337518
295	0.319313655
296	0.3187814737
297	0.3183913091
298	0.3180324336
299	0.3177354967
300	0.3175006034
301	0.3170882954
302	0.3165132838
303	0.3159196587
304	0.3157087503
305	0.3153309217
306	0.3151291462
307	0.314885748
308	0.3146105702
309	0.3142272978
310	0.3139162563
311	0.3134930669
312	0.3131207016
313	0.3128686139
314	0.3124902855
315	0.3120332299
316	0.3118359202
317	0.311488428
318	0.3111937934
319	0.3107658432
320	0.310412068
321	0.3102520046
322	0.3098372662
323	0.3095133767
324	0.3091881885
325	0.3086552291
326	0.3082516474
327	0.308045016
328	0.3078489836
329	0.3075948341
330	0.307126315
331	0.3068304855
332	0.3065245137
333	0.3061927143
334	0.3060612524
335	0.3055846211
336	0.305362509
337	0.3052159421
338	0.3048642234
339	0.3045154651
340	0.3042766415
341	0.3040968154
342	0.3038293943
343	0.3035981089
344	0.3032227609
345	0.3028210658
346	0.3024452361
347	0.3021786959
348	0.3016697087
349	0.3010977005
350	0.3008791077
351	0.3006209453
352	0.300248767
353	0.300060285
354	0.2997142423
355	0.2994172214
356	0.2991622762
357	0.2990430454
358	0.2986538847
359	0.298365605
360	0.298231001
361	0.2980682822
362	0.2978139875
363	0.2975848782
364	0.2974452565
365	0.2970611727
366	0.2967902083
367	0.2966574855
368	0.296386682
369	0.296069998
370	0.2958376891
371	0.2956353091
372	0.2953700175
373	0.2948944591
374	0.2945928501
375	0.2942825907
376	0.2939192347
377	0.2937870369
378	0.2934503516
379	0.2933060731
380	0.2930170567
381	0.2927638737
382	0.292376395
383	0.2922426606
384	0.2920645808
385	0.2916896787
386	0.2910957053
387	0.2908360141
388	0.2904884834
389	0.290147564
390	0.2897742553
391	0.2895218153
392	0.2892543921
393	0.2891202536
394	0.2889305713
395	0.2886707123
396	0.2884281472
397	0.2881576069
398	0.28793718
399	0.2875524815
400	0.287338937
401	0.2867905039
402	0.2865931069
403	0.2862544771
404	0.2860127842
405	0.2852796408
406	0.2849858218
407	0.2845440162
408	0.284287775
409	0.2841094708
410	0.2838860933
411	0.2836625384
412	0.283346083
413	0.2831885486
414	0.2827813342
415	0.2824104159
416	0.2822073145
417	0.282004703
418	0.2816191643
419	0.2812585203
420	0.28098656
421	0.2805047951
422	0.2803816434
423	0.2800932307
424	0.2798459878
425	0.2795883233
426	0.2792963075
427	0.2790444206
428	0.278785664
429	0.2785010967
430	0.2781339274
431	0.2779634351
432	0.2778184658
433	0.2775535347
434	0.2773233841
435	0.2770199678
436	0.2768622909
437	0.2764600309
438	0.2757819773
439	0.2754997806
440	0.2752003022
441	0.2747542593
442	0.2743611761
443	0.2740540324
444	0.273742893
445	0.273541379
446	0.2733057703
447	0.2728377617
448	0.2724506975
449	0.2723343903
450	0.2719893849
451	0.2716937764
452	0.2711141274
453	0.2706326422
454	0.2702657084
455	0.2699524395
456	0.2698396192
457	0.2693486761
458	0.2690775132
459	0.2689479065
460	0.2686279742
461	0.268437468
462	0.2682511335
463	0.2680098061
464	0.267644762
465	0.2673812063
466	0.2670542991
467	0.2668441551
468	0.2665994888
469	0.2662918161
470	0.2658888935
471	0.2657131783
472	0.2655245608
473	0.2653321
474	0.2650064605
475	0.2647150966
476	0.2644573036
477	0.2639295682
478	0.2637171494
479	0.2635275306
480	0.2633184504
481	0.2631464085
482	0.2626692899
483	0.26220282
484	0.262030476
485	0.2615765328
486	0.2612650815
487	0.2610039178
488	0.2607612968
489	0.2604781802
490	0.2602917782
491	0.2598373628
492	0.259513441
493	0.2592475477
494	0.2590326567
495	0.2587096693
496	0.2586267022
497	0.2584081443
498	0.2579927845
499	0.257801275
500	0.2576023505
501	0.2573416068
502	0.257148526
503	0.2567413303
504	0.2565883852
505	0.2563588252
506	0.2562178128
507	0.2558775914
508	0.2556922533
509	0.2553555341
510	0.2548635317
511	0.2546973364
512	0.2544771817
513	0.2542360935
514	0.253924654
515	0.2537815198
516	0.2535777344
517	0.253471128
518	0.2531362838
519	0.2528510982
520	0.2524816012
521	0.2522934243
522	0.2521974749
523	0.2520109009
524	0.2516340516
525	0.2512893244
526	0.2506990654
527	0.2502963294
528	0.2500545058
529	0.2495378581
530	0.2491721051
531	0.2490221698
532	0.2488641906
533	0.2486480356
534	0.2485714351
535	0.2483768675
536	0.2482550637
537	0.2479610826
538	0.2476655643
539	0.2472987214
540	0.2470961951
541	0.2469919959
542	0.2467506633
543	0.2465160989
544	0.2462799418
545	0.2459151271
546	0.2456978048
547	0.2455580598
548	0.2453177484
549	0.244951628
550	0.2447406969
551	0.2444986913
552	0.244255793
553	0.2440104699
554	0.2438608035
555	0.2437476767
556	0.2434379661
557	0.2432161055
558	0.242905051
559	0.2425584094
560	0.2424623399
561	0.2422903358
562	0.2421356298
563	0.241981123
564	0.2415976705
565	0.2413919495
566	0.2412142146
567	0.2410154915
568	0.2407705263
569	0.2405224944
570	0.2401170952
571	0.2399560944
572	0.2397013455
573	0.2394834804
574	0.2391699191
575	0.2387634526
576	0.2385100042
577	0.2382968595
578	0.2380552101
579	0.2377922385
580	0.2375909717
581	0.2374493499
582	0.2372677958
583	0.2370812068
584	0.2368963343
585	0.2368118049
586	0.2366172817
587	0.2363673724
588	0.2362322675
589	0.2361465193
590	0.2359964056
591	0.2358236817
