iter	Passed	Remaining
0	25	25779
1	31	15616
2	42	14028
3	53	13283
4	65	12985
5	76	12692
6	87	12424
7	102	12719
8	113	12543
9	125	12414
10	136	12250
11	147	12111
12	158	12003
13	169	11951
14	182	11981
15	196	12096
16	209	12128
17	226	12344
18	237	12256
19	248	12185
20	259	12099
21	270	12041
22	282	11988
23	293	11926
24	304	11881
25	316	11842
26	326	11770
27	337	11712
28	348	11664
29	359	11614
30	370	11567
31	385	11668
32	399	11707
33	412	11730
34	426	11766
35	441	11810
36	455	11853
37	474	12013
38	489	12054
39	503	12082
40	516	12087
41	533	12163
42	543	12104
43	555	12066
44	566	12014
45	576	11962
46	587	11921
47	598	11872
48	609	11822
49	619	11769
50	630	11728
51	641	11687
52	651	11643
53	662	11600
54	672	11555
55	683	11514
56	693	11477
57	704	11445
58	715	11408
59	726	11379
60	737	11359
61	748	11326
62	759	11294
63	769	11258
64	780	11227
65	791	11203
66	802	11170
67	815	11183
68	831	11224
69	845	11235
70	860	11253
71	873	11253
72	886	11259
73	907	11361
74	921	11365
75	934	11363
76	959	11498
77	978	11566
78	992	11566
79	1002	11534
80	1013	11496
81	1023	11458
82	1034	11429
83	1045	11396
84	1056	11368
85	1066	11335
86	1077	11306
87	1087	11271
88	1098	11241
89	1109	11213
90	1119	11182
91	1129	11151
92	1141	11130
93	1151	11100
94	1162	11074
95	1175	11068
96	1189	11073
97	1203	11072
98	1216	11070
99	1231	11087
100	1245	11085
101	1264	11134
102	1278	11133
103	1289	11110
104	1300	11086
105	1312	11065
106	1322	11037
107	1332	11008
108	1343	10979
109	1354	10956
110	1364	10930
111	1375	10903
112	1385	10876
113	1396	10851
114	1406	10825
115	1417	10802
116	1428	10782
117	1439	10760
118	1450	10736
119	1460	10713
120	1471	10692
121	1482	10669
122	1493	10646
123	1503	10623
124	1514	10600
125	1525	10580
126	1536	10558
127	1546	10535
128	1557	10513
129	1567	10488
130	1577	10465
131	1590	10458
132	1605	10468
133	1620	10472
134	1634	10472
135	1647	10468
136	1661	10463
137	1674	10459
138	1694	10498
139	1709	10499
140	1726	10521
141	1741	10524
142	1752	10505
143	1763	10483
144	1774	10460
145	1784	10438
146	1795	10419
147	1806	10399
148	1818	10385
149	1828	10362
150	1839	10342
151	1850	10324
152	1861	10303
153	1872	10283
154	1882	10265
155	1893	10243
156	1905	10234
157	1921	10238
158	1932	10219
159	1942	10199
160	1953	10180
161	1964	10160
162	1974	10140
163	1993	10162
164	2012	10186
165	2031	10205
166	2044	10200
167	2057	10190
168	2073	10195
169	2090	10206
170	2104	10200
171	2119	10203
